Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Monday,18-30,Male,Junior high school,Below 1yr,Pick up upto 10Q,13.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7
Monday,18-30,Male,Junior high school,2-5yr,Motorcycle,13.0,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,Other,Slight Injury,7
Monday,18-30,Male,Junior high school,5-10yr,Automobile,13.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,7
Wednesday,31-50,Male,Junior high school,Above 10yr,Pick up upto 10Q,13.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Fatal injury,6
Wednesday,31-50,Male,Elementary school,2-5yr,Motorcycle,8.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Fatal injury,6
Monday,Under 18,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,14
Monday,Over 51,Male,Junior high school,5-10yr,Taxi,8.0, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,12
Tuesday,Over 51,Male,Junior high school,2-5yr,Long lorry,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,10
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,13.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,10
Monday,Over 51,Male,Junior high school,2-5yr,Public (12 seats),2.0, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to pedestrian,Slight Injury,19
Monday,18-30,Male,Junior high school,Above 10yr,Lorry (11?40Q),5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,19
Sunday,Over 51,Male,Junior high school,Above 10yr,Pick up upto 10Q,0.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,10
Sunday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,"Walking along in carriageway, back to traffic",Changing lane to the left,Slight Injury,10
Thursday,18-30,Male,Junior high school,5-10yr,Other,5.0,Office areas,Double carriageway (median),Escarpments,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16
Thursday,18-30,Male,Junior high school,2-5yr,Automobile,13.0,Office areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,16
Monday,31-50,Male,Elementary school,5-10yr,Long lorry,2.0,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Passenger,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Monday,18-30,Male,Junior high school,5-10yr,Lorry (11?40Q),0.0,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Monday,18-30,Male,Junior high school,Above 10yr,Long lorry,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,17
Thursday,18-30,Male,Junior high school,Above 10yr,Taxi,13.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Changing lane to the right,Slight Injury,17
Wednesday,31-50,Male,Elementary school,Below 1yr,Taxi,8.0,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Unknown or other,Changing lane to the left,Slight Injury,21
Wednesday,18-30,Male,Elementary school,5-10yr,Long lorry,0.0,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury,21
Monday,31-50,Male,Elementary school,1-2yr,Lorry (11?40Q),8.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,8
Tuesday,18-30,Male,Elementary school,5-10yr,Lorry (11?40Q),0.0,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving to the left,Serious Injury,15
Tuesday,Under 18,Male,Elementary school,5-10yr,Long lorry,0.0, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,3,Moving Backward,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,23
Tuesday,18-30,Male,Elementary school,5-10yr,Long lorry,13.0,Residential areas,other,Tangent road with rolling terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,23
Tuesday,18-30,Male,Junior high school,5-10yr,Long lorry,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,23
Saturday,18-30,Male,Junior high school,Above 10yr,Public (13?45 seats),5.0,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,14
Saturday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,14
Saturday,31-50,Male,Elementary school,5-10yr,Pick up upto 10Q,0.0,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,14
Saturday,18-30,Male,Elementary school,5-10yr,Automobile,1.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Serious Injury,13
Saturday,18-30,Male,Elementary school,2-5yr,Stationwagen,8.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Driving carelessly,Serious Injury,13
Saturday,31-50,Male,Elementary school,Above 10yr,Automobile,0.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury,15
Saturday,31-50,Male,Elementary school,2-5yr,Automobile,2.0,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,na,na,na,na,Not a Pedestrian,Turnover,Slight Injury,15
Saturday,18-30,Male,Junior high school,Above 10yr,Automobile,5.0,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Monday,18-30,Male,Junior high school,Below 1yr,Long lorry,0.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,9
Monday,18-30,Female,Junior high school,2-5yr,Public (13?45 seats),5.0,Residential areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,9
Sunday,Over 51,Male,Elementary school,5-10yr,Public (13?45 seats),0.0,Residential areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,13
Sunday,31-50,Male,Elementary school,5-10yr,Lorry (11?40Q),0.0, Outside rural areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,13
Sunday,31-50,Male,Elementary school,1-2yr,Lorry (11?40Q),13.0,Residential areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,3,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Overturning,Serious Injury,13
Sunday,18-30,Male,Elementary school,5-10yr,Pick up upto 10Q,8.0, Church areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,3,Going straight,Pedestrian,Male,31-50,3,Unknown or other,No distancing,Serious Injury,13
Sunday,18-30,Male,Junior high school,1-2yr,Automobile,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,3,Going straight,Pedestrian,Female,31-50,3,Unknown or other,Driving carelessly,Serious Injury,13
Monday,18-30,Male,Junior high school,5-10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,12
Monday,31-50,Male,Elementary school,1-2yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,12
Friday,18-30,Male,Junior high school,5-10yr,Long lorry,5.0,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Friday,18-30,Male,Junior high school,2-5yr,Long lorry,5.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,16
Thursday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,16
Thursday,31-50,Male,Junior high school,5-10yr,Stationwagen,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16
Wednesday,31-50,Male,Junior high school,Below 1yr,Automobile,1.0,Other,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,0
Wednesday,18-30,Female,High school,Below 1yr,Other,8.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,18-30,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the left,Slight Injury,0
Wednesday,18-30,Male,Junior high school,5-10yr,Special vehicle,8.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Pedestrian,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,8
Wednesday,18-30,Female,Junior high school,Below 1yr,Lorry (41?100Q),5.0,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,11
Saturday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,4
Saturday,31-50,Male,Junior high school,2-5yr,Lorry (11?40Q),5.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,4
Wednesday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),8.0,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,12
Wednesday,31-50,Male,Elementary school,5-10yr,Motorcycle,5.0, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads with some distress,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,12
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,12
Thursday,18-30,Male,Junior high school,5-10yr,Automobile,13.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,18
Thursday,18-30,Male,Junior high school,5-10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,18
Thursday,31-50,Male,Illiterate,2-5yr,Stationwagen,0.0, Industrial areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,18
Tuesday,18-30,Male,Junior high school,5-10yr,Automobile,2.0, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,3,Not a Pedestrian,Other,Slight Injury,20
Tuesday,31-50,Male,Junior high school,Below 1yr,Public (> 45 seats),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Sunday,31-50,Male,Junior high school,1-2yr,Public (> 45 seats),13.0, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Overtaking,Driver or rider,Male,Over 51,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,15
Sunday,18-30,Female,Elementary school,2-5yr,Stationwagen,0.0,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15
Wednesday,31-50,Male,Elementary school,2-5yr,Automobile,5.0, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Wednesday,Under 18,Male,Elementary school,5-10yr,Bicycle,8.0, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,13.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Driver or rider,Male,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,17
Tuesday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),5.0,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,13
Tuesday,Over 51,Male,Junior high school,Above 10yr,Automobile,2.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,13
Sunday,31-50,Male,Junior high school,Above 10yr,Public (13?45 seats),5.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Sunday,31-50,Male,Junior high school,Above 10yr,Special vehicle,0.0,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7
Saturday,18-30,Male,Junior high school,5-10yr,Automobile,2.0,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Serious Injury,16
Saturday,31-50,Male,Junior high school,5-10yr,Public (13?45 seats),0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,16
Friday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,7
Friday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Getting off,Pedestrian,Female,18-30,3,Crossing from driver's nearside,Driving carelessly,Slight Injury,7
Thursday,18-30,Female,Junior high school,2-5yr,Lorry (41?100Q),8.0,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,3,Unknown or other,Moving Backward,Fatal injury,23
Sunday,18-30,Male,High school,5-10yr,Public (12 seats),0.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,19
Tuesday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),8.0,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Moving Backward,Pedestrian,Male,5,3,Not a Pedestrian,No distancing,Slight Injury,14
Tuesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No distancing,Slight Injury,14
Tuesday,18-30,Male,Elementary school,2-5yr,Public (12 seats),0.0, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,14
Tuesday,18-30,Male,High school,Above 10yr,Public (> 45 seats),2.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,14
Saturday,18-30,Male,Elementary school,1-2yr,Automobile,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,14
Friday,31-50,Male,Junior high school,5-10yr,Stationwagen,0.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,7
Friday,18-30,Male,Junior high school,5-10yr,Other,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,7
Tuesday,18-30,Male,Above high school,5-10yr,Automobile,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,7
Tuesday,18-30,Male,Junior high school,5-10yr,Automobile,8.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Pedestrian,Male,31-50,2,Not a Pedestrian,Changing lane to the left,Slight Injury,7
Saturday,31-50,Male,Junior high school,Above 10yr,Stationwagen,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Pedestrian,Male,18-30,3,Unknown or other,Changing lane to the right,Slight Injury,20
Saturday,18-30,Male,Junior high school,1-2yr,Pick up upto 10Q,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Unknown or other,Overtaking,Slight Injury,20
Monday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Overloading,Slight Injury,16
Tuesday,18-30,Male,Junior high school,Below 1yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Serious Injury,16
